,raceId,year,round,circuitId,name,date,time,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
0,1,2009,1,1,Australian Grand Prix,2009-03-29,,,,,,,,,,,
1,2,2009,2,2,Malaysian Grand Prix,2009-04-05,,,,,,,,,,,
2,3,2009,3,17,Chinese Grand Prix,2009-04-19,,,,,,,,,,,
3,4,2009,4,3,Bahrain Grand Prix,2009-04-26,,,,,,,,,,,
4,5,2009,5,4,Spanish Grand Prix,2009-05-10,,,,,,,,,,,
5,6,2009,6,6,Monaco Grand Prix,2009-05-24,,,,,,,,,,,
6,7,2009,7,5,Turkish Grand Prix,2009-06-07,,,,,,,,,,,
7,8,2009,8,9,British Grand Prix,2009-06-21,,,,,,,,,,,
8,9,2009,9,20,German Grand Prix,2009-07-12,,,,,,,,,,,
9,10,2009,10,11,Hungarian Grand Prix,2009-07-26,,,,,,,,,,,
10,11,2009,11,12,European Grand Prix,2009-08-23,,,,,,,,,,,
11,12,2009,12,13,Belgian Grand Prix,2009-08-30,,,,,,,,,,,
12,13,2009,13,14,Italian Grand Prix,2009-09-13,,,,,,,,,,,
13,14,2009,14,15,Singapore Grand Prix,2009-09-27,,,,,,,,,,,
14,15,2009,15,22,Japanese Grand Prix,2009-10-04,,,,,,,,,,,
15,16,2009,16,18,Brazilian Grand Prix,2009-10-18,,,,,,,,,,,
16,17,2009,17,24,Abu Dhabi Grand Prix,2009-11-01,,,,,,,,,,,
17,18,2008,1,1,Australian Grand Prix,2008-03-16,,,,,,,,,,,
18,19,2008,2,2,Malaysian Grand Prix,2008-03-23,,,,,,,,,,,
19,20,2008,3,3,Bahrain Grand Prix,2008-04-06,,,,,,,,,,,
20,21,2008,4,4,Spanish Grand Prix,2008-04-27,,,,,,,,,,,
21,22,2008,5,5,Turkish Grand Prix,2008-05-11,,,,,,,,,,,
22,23,2008,6,6,Monaco Grand Prix,2008-05-25,,,,,,,,,,,
23,24,2008,7,7,Canadian Grand Prix,2008-06-08,,,,,,,,,,,
24,25,2008,8,8,French Grand Prix,2008-06-22,,,,,,,,,,,
25,26,2008,9,9,British Grand Prix,2008-07-06,,,,,,,,,,,
26,27,2008,10,10,German Grand Prix,2008-07-20,,,,,,,,,,,
27,28,2008,11,11,Hungarian Grand Prix,2008-08-03,,,,,,,,,,,
28,29,2008,12,12,European Grand Prix,2008-08-24,,,,,,,,,,,
29,30,2008,13,13,Belgian Grand Prix,2008-09-07,,,,,,,,,,,
30,31,2008,14,14,Italian Grand Prix,2008-09-14,,,,,,,,,,,
31,32,2008,15,15,Singapore Grand Prix,2008-09-28,,,,,,,,,,,
32,33,2008,16,16,Japanese Grand Prix,2008-10-12,,,,,,,,,,,
33,34,2008,17,17,Chinese Grand Prix,2008-10-19,,,,,,,,,,,
34,35,2008,18,18,Brazilian Grand Prix,2008-11-02,,,,,,,,,,,
35,36,2007,1,1,Australian Grand Prix,2007-03-18,,,,,,,,,,,
36,37,2007,2,2,Malaysian Grand Prix,2007-04-08,,,,,,,,,,,
37,38,2007,3,3,Bahrain Grand Prix,2007-04-15,,,,,,,,,,,
38,39,2007,4,4,Spanish Grand Prix,2007-05-13,,,,,,,,,,,
39,40,2007,5,6,Monaco Grand Prix,2007-05-27,,,,,,,,,,,
40,41,2007,6,7,Canadian Grand Prix,2007-06-10,,,,,,,,,,,
41,42,2007,7,19,United States Grand Prix,2007-06-17,,,,,,,,,,,
42,43,2007,8,8,French Grand Prix,2007-07-01,,,,,,,,,,,
43,44,2007,9,9,British Grand Prix,2007-07-08,,,,,,,,,,,
44,45,2007,10,20,European Grand Prix,2007-07-22,,,,,,,,,,,
45,46,2007,11,11,Hungarian Grand Prix,2007-08-05,,,,,,,,,,,
46,47,2007,12,5,Turkish Grand Prix,2007-08-26,,,,,,,,,,,
47,48,2007,13,14,Italian Grand Prix,2007-09-09,,,,,,,,,,,
48,49,2007,14,13,Belgian Grand Prix,2007-09-16,,,,,,,,,,,
49,50,2007,15,16,Japanese Grand Prix,2007-09-30,,,,,,,,,,,
50,51,2007,16,17,Chinese Grand Prix,2007-10-07,,,,,,,,,,,
51,52,2007,17,18,Brazilian Grand Prix,2007-10-21,,,,,,,,,,,
52,53,2006,1,3,Bahrain Grand Prix,2006-03-12,,,,,,,,,,,
53,54,2006,2,2,Malaysian Grand Prix,2006-03-19,,,,,,,,,,,
54,55,2006,3,1,Australian Grand Prix,2006-04-02,,,,,,,,,,,
55,56,2006,4,21,San Marino Grand Prix,2006-04-23,,,,,,,,,,,
56,57,2006,5,20,European Grand Prix,2006-05-07,,,,,,,,,,,
57,58,2006,6,4,Spanish Grand Prix,2006-05-14,,,,,,,,,,,
58,59,2006,7,6,Monaco Grand Prix,2006-05-28,,,,,,,,,,,
59,60,2006,8,9,British Grand Prix,2006-06-11,,,,,,,,,,,
60,61,2006,9,7,Canadian Grand Prix,2006-06-25,,,,,,,,,,,
61,62,2006,10,19,United States Grand Prix,2006-07-02,,,,,,,,,,,
62,63,2006,11,8,French Grand Prix,2006-07-16,,,,,,,,,,,
63,64,2006,12,10,German Grand Prix,2006-07-30,,,,,,,,,,,
64,65,2006,13,11,Hungarian Grand Prix,2006-08-06,,,,,,,,,,,
65,66,2006,14,5,Turkish Grand Prix,2006-08-27,,,,,,,,,,,
66,67,2006,15,14,Italian Grand Prix,2006-09-10,,,,,,,,,,,
67,68,2006,16,17,Chinese Grand Prix,2006-10-01,,,,,,,,,,,
68,69,2006,17,22,Japanese Grand Prix,2006-10-08,,,,,,,,,,,
69,70,2006,18,18,Brazilian Grand Prix,2006-10-22,,,,,,,,,,,
70,71,2005,1,1,Australian Grand Prix,2005-03-06,,,,,,,,,,,
71,72,2005,2,2,Malaysian Grand Prix,2005-03-20,,,,,,,,,,,
72,73,2005,3,3,Bahrain Grand Prix,2005-04-03,,,,,,,,,,,
73,74,2005,4,21,San Marino Grand Prix,2005-04-24,,,,,,,,,,,
74,75,2005,5,4,Spanish Grand Prix,2005-05-08,,,,,,,,,,,
75,76,2005,6,6,Monaco Grand Prix,2005-05-22,,,,,,,,,,,
76,77,2005,7,20,European Grand Prix,2005-05-29,,,,,,,,,,,
77,78,2005,8,7,Canadian Grand Prix,2005-06-12,,,,,,,,,,,
78,79,2005,9,19,United States Grand Prix,2005-06-19,,,,,,,,,,,
79,80,2005,10,8,French Grand Prix,2005-07-03,,,,,,,,,,,
80,81,2005,11,9,British Grand Prix,2005-07-10,,,,,,,,,,,
81,82,2005,12,10,German Grand Prix,2005-07-24,,,,,,,,,,,
82,83,2005,13,11,Hungarian Grand Prix,2005-07-31,,,,,,,,,,,
83,84,2005,14,5,Turkish Grand Prix,2005-08-21,,,,,,,,,,,
84,85,2005,15,14,Italian Grand Prix,2005-09-04,,,,,,,,,,,
85,86,2005,16,13,Belgian Grand Prix,2005-09-11,,,,,,,,,,,
86,87,2005,17,18,Brazilian Grand Prix,2005-09-25,,,,,,,,,,,
87,88,2005,18,22,Japanese Grand Prix,2005-10-09,,,,,,,,,,,
88,89,2005,19,17,Chinese Grand Prix,2005-10-16,,,,,,,,,,,
89,90,2004,1,1,Australian Grand Prix,2004-03-07,,,,,,,,,,,
90,91,2004,2,2,Malaysian Grand Prix,2004-03-21,,,,,,,,,,,
91,92,2004,3,3,Bahrain Grand Prix,2004-04-04,,,,,,,,,,,
92,93,2004,4,21,San Marino Grand Prix,2004-04-25,,,,,,,,,,,
93,94,2004,5,4,Spanish Grand Prix,2004-05-09,,,,,,,,,,,
94,95,2004,6,6,Monaco Grand Prix,2004-05-23,,,,,,,,,,,
95,96,2004,7,20,European Grand Prix,2004-05-30,,,,,,,,,,,
96,97,2004,8,7,Canadian Grand Prix,2004-06-13,,,,,,,,,,,
97,98,2004,9,19,United States Grand Prix,2004-06-20,,,,,,,,,,,
98,99,2004,10,8,French Grand Prix,2004-07-04,,,,,,,,,,,
99,100,2004,11,9,British Grand Prix,2004-07-11,,,,,,,,,,,
100,101,2004,12,10,German Grand Prix,2004-07-25,,,,,,,,,,,
101,102,2004,13,11,Hungarian Grand Prix,2004-08-15,,,,,,,,,,,
102,103,2004,14,13,Belgian Grand Prix,2004-08-29,,,,,,,,,,,
103,104,2004,15,14,Italian Grand Prix,2004-09-12,,,,,,,,,,,
104,105,2004,16,17,Chinese Grand Prix,2004-09-26,,,,,,,,,,,
105,106,2004,17,22,Japanese Grand Prix,2004-10-10,,,,,,,,,,,
106,107,2004,18,18,Brazilian Grand Prix,2004-10-24,,,,,,,,,,,
107,108,2003,1,1,Australian Grand Prix,2003-03-09,,,,,,,,,,,
108,109,2003,2,2,Malaysian Grand Prix,2003-03-23,,,,,,,,,,,
109,110,2003,3,18,Brazilian Grand Prix,2003-04-06,,,,,,,,,,,
110,111,2003,4,21,San Marino Grand Prix,2003-04-20,,,,,,,,,,,
111,112,2003,5,4,Spanish Grand Prix,2003-05-04,,,,,,,,,,,
112,113,2003,6,70,Austrian Grand Prix,2003-05-18,,,,,,,,,,,
113,114,2003,7,6,Monaco Grand Prix,2003-06-01,,,,,,,,,,,
114,115,2003,8,7,Canadian Grand Prix,2003-06-15,,,,,,,,,,,
115,116,2003,9,20,European Grand Prix,2003-06-29,,,,,,,,,,,
